"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-08",100.1909,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-09",100.1541,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-10",100.1432,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-11",100.1663,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-12",100.1995,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-01",100.2132,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-02",100.2492,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-03",100.3535,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-04",100.4636,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-05",100.5104,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-06",100.4519,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-07",100.2857,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-08",100.073,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-09",99.87999,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2015-10",99.75035,
